source,target,tgt_lng
"abstract","摘要","zh"
"methodology","研究方法","zh"
"research question","研究问题","zh"
"literature review","文献综述","zh"
"hypothesis","研究假设","zh"
"identification strategy","识别策略","zh"
"endogeneity","内生性","zh"
"instrumental variable","工具变量","zh"
"robustness check","稳健性检验","zh"
"sensitivity analysis","敏感性分析","zh"
"replication","复现","zh"
"peer review","同行评审","zh"
"appendix","附录","zh"
"supplementary materials","补充材料","zh"
"assumption","假设条件","zh"
"proposition","命题","zh"
"corollary","推论","zh"
"proof sketch","证明概要","zh"
"counterexample","反例","zh"
"ablation study","消融实验","zh"
"benchmark","基准","zh"
"empirical evidence","实证证据","zh"
"external validity","外部效度","zh"
"internal validity","内部效度","zh"
"reproducibility","可复现性","zh"
"limitations","研究局限","zh"
"causal inference","因果推断","zh"
"confounder","混杂因素","zh"
"selection bias","选择偏差","zh"
"measurement error","测量误差","zh"
"systematic review","系统综述","zh"
"meta-analysis","荟萃分析","zh"
"pre-registration","预注册","zh"
"data-generating process","数据生成过程","zh"
"baseline specification","基准设定","zh"
"specification test","设定检验","zh"
"sample selection","样本选择","zh"
"control group","对照组","zh"
"treatment group","处理组","zh"
"randomized controlled trial","随机对照试验","zh"
"statistically significant","具有统计显著性","zh"
"general equilibrium","一般均衡","zh"
"partial equilibrium","局部均衡","zh"
"marginal utility","边际效用","zh"
"price elasticity","价格弹性","zh"
"consumer surplus","消费者剩余","zh"
"producer surplus","生产者剩余","zh"
"deadweight loss","无谓损失","zh"
"opportunity cost","机会成本","zh"
"comparative advantage","比较优势","zh"
"monetary policy","货币政策","zh"
"fiscal policy","财政政策","zh"
"output gap","产出缺口","zh"
"natural rate of unemployment","自然失业率","zh"
"Phillips curve","菲利普斯曲线","zh"
"purchasing power parity","购买力平价","zh"
"difference in differences","双重差分法","zh"
"regression discontinuity","断点回归","zh"
"fixed effects","固定效应","zh"
"random effects","随机效应","zh"
"gross domestic product","国内生产总值","zh"
"consumer price index","消费者价格指数","zh"
"producer price index","生产者价格指数","zh"
"GDP deflator","GDP 平减指数","zh"
"nominal GDP","名义 GDP","zh"
"real GDP","实际 GDP","zh"
"inflation","通货膨胀","zh"
"disinflation","通胀放缓","zh"
"deflation","通货紧缩","zh"
"stagflation","滞胀","zh"
"real interest rate","实际利率","zh"
"aggregate demand","总需求","zh"
"aggregate supply","总供给","zh"
"business cycle","经济周期","zh"
"quantitative easing","量化宽松","zh"
"balance of payments","国际收支","zh"
"current account","经常账户","zh"
"omitted variable bias","遗漏变量偏误","zh"
"instrument relevance","工具变量相关性","zh"
"exclusion restriction","排除性约束","zh"
"parallel trends","平行趋势","zh"
"average treatment effect","平均处理效应","zh"
"two-stage least squares","两阶段最小二乘法","zh"
"generalized method of moments","广义矩估计","zh"
"potential output","潜在产出","zh"
"NAIRU","非加速通胀失业率","zh"
"Taylor rule","泰勒规则","zh"
"policy rate","政策利率","zh"
"money supply","货币供应量","zh"
"money multiplier","货币乘数","zh"
"fiscal multiplier","财政乘数","zh"
"marginal propensity to consume","边际消费倾向","zh"
"automatic stabilizer","自动稳定器","zh"
"exchange rate pass-through","汇率传递","zh"
"real effective exchange rate","实际有效汇率","zh"
"terms of trade","贸易条件","zh"
"capital account","资本账户","zh"
"labor force participation rate","劳动参与率","zh"
"Okun's law","奥肯定律","zh"
"IS-LM model","IS–LM 模型","zh"
"expected return","期望收益率","zh"
"realized return","已实现收益率","zh"
"excess return","超额收益率","zh"
"risk premium","风险溢价","zh"
"yield to maturity","到期收益率","zh"
"duration","久期","zh"
"modified duration","修正久期","zh"
"convexity","凸性","zh"
"term structure","期限结构","zh"
"credit spread","信用利差","zh"
"free cash flow","自由现金流","zh"
"weighted average cost of capital","加权平均资本成本","zh"
"discounted cash flow","现金流折现法","zh"
"enterprise value","企业价值","zh"
"equity value","股权价值","zh"
"book-to-market ratio","账面市值比","zh"
"earnings yield","盈利收益率","zh"
"financial leverage","财务杠杆","zh"
"working capital","营运资本","zh"
"liquidity premium","流动性溢价","zh"
"log return","对数收益率","zh"
"discount factor","贴现因子","zh"
"zero-coupon bond","零息债券","zh"
"coupon rate","票面利率","zh"
"spot rate","即期利率","zh"
"forward rate","远期利率","zh"
"yield curve","收益率曲线","zh"
"basis point","基点","zh"
"percentage point","百分点","zh"
"interest rate swap","利率互换","zh"
"credit default swap","信用违约互换","zh"
"probability of default","违约概率","zh"
"loss given default","违约损失率","zh"
"exposure at default","违约风险暴露","zh"
"expected loss","预期信用损失","zh"
"recovery rate","回收率","zh"
"counterparty risk","交易对手风险","zh"
"strike price","行权价","zh"
"payoff","到期支付","zh"
"call option","看涨期权","zh"
"put option","看跌期权","zh"
"put-call parity","看跌–看涨期权平价","zh"
"in the money","实值","zh"
"at the money","平值","zh"
"out of the money","虚值","zh"
