source,target,tgt_lng
"abstract","摘要","zh"
"methodology","研究方法","zh"
"research question","研究问题","zh"
"literature review","文献综述","zh"
"hypothesis","研究假设","zh"
"identification strategy","识别策略","zh"
"endogeneity","内生性","zh"
"instrumental variable","工具变量","zh"
"robustness check","稳健性检验","zh"
"sensitivity analysis","敏感性分析","zh"
"replication","复现","zh"
"peer review","同行评审","zh"
"appendix","附录","zh"
"supplementary materials","补充材料","zh"
"assumption","假设条件","zh"
"proposition","命题","zh"
"corollary","推论","zh"
"proof sketch","证明概要","zh"
"counterexample","反例","zh"
"ablation study","消融实验","zh"
"benchmark","基准","zh"
"empirical evidence","实证证据","zh"
"external validity","外部效度","zh"
"internal validity","内部效度","zh"
"reproducibility","可复现性","zh"
"limitations","研究局限","zh"
"causal inference","因果推断","zh"
"confounder","混杂因素","zh"
"selection bias","选择偏差","zh"
"measurement error","测量误差","zh"
"systematic review","系统综述","zh"
"meta-analysis","荟萃分析","zh"
"pre-registration","预注册","zh"
"data-generating process","数据生成过程","zh"
"baseline specification","基准设定","zh"
"specification test","设定检验","zh"
"sample selection","样本选择","zh"
"control group","对照组","zh"
"treatment group","处理组","zh"
"randomized controlled trial","随机对照试验","zh"
"statistically significant","具有统计显著性","zh"
"research design","研究设计","zh"
"conceptual framework","概念框架","zh"
"theoretical framework","理论框架","zh"
"estimand","目标估计量","zh"
"treatment effect heterogeneity","处理效应异质性","zh"
"mediator variable","中介变量","zh"
"moderator variable","调节变量","zh"
"construct validity","构念效度","zh"
"ecological validity","生态效度","zh"
"publication bias","发表偏倚","zh"
"reporting bias","报告偏倚","zh"
"p-hacking","P 值操纵","zh"
"data dredging","数据捞取","zh"
"registered report","注册报告","zh"
"open science","开放科学","zh"
"data availability statement","数据可用性声明","zh"
"conflict of interest","利益冲突","zh"
"corresponding author","通讯作者","zh"
"preprint","预印本","zh"
"systematic error","系统误差","zh"
"random error","随机误差","zh"
"research protocol","研究方案","zh"
"protocol deviation","方案偏离","zh"
"attrition bias","失访偏倚","zh"
"loss to follow-up","失访","zh"
"blinding","盲法","zh"
"allocation concealment","分配隐藏","zh"
"intention-to-treat analysis","意向性治疗分析","zh"
"per-protocol analysis","符合方案分析","zh"
"null result","零结果","zh"
"data provenance","数据溯源","zh"
"code availability statement","代码可用性声明","zh"
"plagiarism","抄袭","zh"
"paraphrase","转述","zh"
"citation context","引文语境","zh"
"fiduciary duty","受托责任","zh"
"material nonpublic information","重大非公开信息","zh"
"fair dealing","公平对待","zh"
"suitability","适当性","zh"
"diligence and reasonable basis","勤勉与合理依据","zh"
"priority of transactions","交易优先顺序","zh"
"referral fee","推荐费","zh"
"soft dollar arrangement","软美元安排","zh"
"mosaic theory","马赛克理论","zh"
"professional misconduct","专业失当行为","zh"
"market manipulation","市场操纵","zh"
"performance presentation","业绩展示","zh"
"record retention","记录保存","zh"
"whistleblowing","举报不当行为","zh"
"Global Investment Performance Standards","全球投资业绩标准","zh"
"composite","组合群","zh"
"GIPS verification","GIPS 验证","zh"
"discretionary portfolio","全权委托投资组合","zh"
"total firm assets","公司管理资产总额","zh"
"independence and objectivity","独立性与客观性","zh"
"replication package","复现资料包","zh"
"negative control","阴性对照","zh"
"replicability","可重复验证性","zh"
"computational reproducibility","计算可复现性","zh"
"equivalence test","等效性检验","zh"
"non-inferiority test","非劣效性检验","zh"
"researcher degrees of freedom","研究者自由度","zh"
"multiverse analysis","多宇宙分析","zh"
"specification curve analysis","设定曲线分析","zh"
"reporting guideline","报告规范","zh"
"reproducible workflow","可复现工作流","zh"
"operationalization","操作化","zh"
"prespecification","预先设定","zh"
"primary outcome","主要结局","zh"
"post hoc analysis","事后分析","zh"
"risk of bias","偏倚风险","zh"
"operational measure","操作性测量","zh"
"post hoc outcome","事后结局","zh"
"general equilibrium","一般均衡","zh"
"partial equilibrium","局部均衡","zh"
"marginal utility","边际效用","zh"
"price elasticity","价格弹性","zh"
"consumer surplus","消费者剩余","zh"
"producer surplus","生产者剩余","zh"
"deadweight loss","无谓损失","zh"
"opportunity cost","机会成本","zh"
"comparative advantage","比较优势","zh"
"monetary policy","货币政策","zh"
"fiscal policy","财政政策","zh"
"output gap","产出缺口","zh"
"natural rate of unemployment","自然失业率","zh"
"Phillips curve","菲利普斯曲线","zh"
"purchasing power parity","购买力平价","zh"
"difference in differences","双重差分法","zh"
"regression discontinuity","断点回归","zh"
"fixed effects","固定效应","zh"
"random effects","随机效应","zh"
"gross domestic product","国内生产总值","zh"
"consumer price index","消费者价格指数","zh"
"producer price index","生产者价格指数","zh"
"GDP deflator","GDP 平减指数","zh"
"nominal GDP","名义 GDP","zh"
"real GDP","实际 GDP","zh"
"inflation","通货膨胀","zh"
"disinflation","通胀放缓","zh"
"deflation","通货紧缩","zh"
"stagflation","滞胀","zh"
